,RELIANCE,HDFCBANK,ICICIBANK,INFY,TCS,AXISBANK,BAJFINANCE,DRREDDY,HINDUNILVR,ITC,MARUTI,ONGC,SUNPHARMA,WIPRO
RELIANCE,1.0,0.458,0.144,0.491,0.237,0.6,0.173,0.285,0.387,0.189,0.301,0.131,0.183,0.198
HDFCBANK,0.458,1.0,0.127,0.495,0.26,0.455,0.233,0.295,0.394,0.144,0.348,0.183,0.228,0.229
ICICIBANK,0.144,0.127,1.0,0.153,0.154,0.119,0.123,0.139,0.149,0.116,0.122,0.361,0.148,0.195
INFY,0.491,0.495,0.153,1.0,0.24,0.541,0.201,0.285,0.359,0.102,0.352,0.174,0.219,0.257
TCS,0.237,0.26,0.154,0.24,1.0,0.202,0.178,0.278,0.305,-0.002,0.214,0.152,0.233,0.164
AXISBANK,0.6,0.455,0.119,0.541,0.202,1.0,0.19,0.28,0.336,0.159,0.263,0.2,0.185,0.225
BAJFINANCE,0.173,0.233,0.123,0.201,0.178,0.19,1.0,0.168,0.173,0.064,0.208,0.213,0.699,0.581
DRREDDY,0.285,0.295,0.139,0.285,0.278,0.28,0.168,1.0,0.266,0.144,0.252,0.217,0.193,0.176
HINDUNILVR,0.387,0.394,0.149,0.359,0.305,0.336,0.173,0.266,1.0,0.119,0.328,0.223,0.227,0.199
ITC,0.189,0.144,0.116,0.102,-0.002,0.159,0.064,0.144,0.119,1.0,0.257,0.134,0.101,0.133
MARUTI,0.301,0.348,0.122,0.352,0.214,0.263,0.208,0.252,0.328,0.257,1.0,0.227,0.248,0.255
ONGC,0.131,0.183,0.361,0.174,0.152,0.2,0.213,0.217,0.223,0.134,0.227,1.0,0.245,0.24
SUNPHARMA,0.183,0.228,0.148,0.219,0.233,0.185,0.699,0.193,0.227,0.101,0.248,0.245,1.0,0.603
WIPRO,0.198,0.229,0.195,0.257,0.164,0.225,0.581,0.176,0.199,0.133,0.255,0.24,0.603,1.0
