,RELIANCE,HDFCBANK,ICICIBANK,INFY,TCS,AXISBANK,BAJFINANCE,DRREDDY,HINDUNILVR,ITC,MARUTI,ONGC,SUNPHARMA,WIPRO
RELIANCE,1.0,0.437,0.166,0.461,0.215,0.547,0.186,0.248,0.36,0.235,0.316,0.163,0.177,0.183
HDFCBANK,0.437,1.0,0.139,0.456,0.227,0.422,0.216,0.256,0.372,0.188,0.327,0.183,0.2,0.182
ICICIBANK,0.166,0.139,1.0,0.152,0.18,0.122,0.158,0.14,0.178,0.12,0.18,0.381,0.167,0.206
INFY,0.461,0.456,0.152,1.0,0.224,0.507,0.222,0.237,0.327,0.135,0.358,0.168,0.214,0.24
TCS,0.215,0.227,0.18,0.224,1.0,0.183,0.166,0.23,0.28,0.039,0.197,0.172,0.217,0.14
AXISBANK,0.547,0.422,0.122,0.507,0.183,1.0,0.179,0.238,0.315,0.2,0.249,0.218,0.166,0.211
BAJFINANCE,0.186,0.216,0.158,0.222,0.166,0.179,1.0,0.105,0.142,0.103,0.212,0.197,0.684,0.584
DRREDDY,0.248,0.256,0.14,0.237,0.23,0.238,0.105,1.0,0.212,0.159,0.226,0.177,0.117,0.103
HINDUNILVR,0.36,0.372,0.178,0.327,0.28,0.315,0.142,0.212,1.0,0.153,0.304,0.225,0.194,0.154
ITC,0.235,0.188,0.12,0.135,0.039,0.2,0.103,0.159,0.153,1.0,0.275,0.149,0.142,0.193
MARUTI,0.316,0.327,0.18,0.358,0.197,0.249,0.212,0.226,0.304,0.275,1.0,0.225,0.245,0.259
ONGC,0.163,0.183,0.381,0.168,0.172,0.218,0.197,0.177,0.225,0.149,0.225,1.0,0.223,0.216
SUNPHARMA,0.177,0.2,0.167,0.214,0.217,0.166,0.684,0.117,0.194,0.142,0.245,0.223,1.0,0.591
WIPRO,0.183,0.182,0.206,0.24,0.14,0.211,0.584,0.103,0.154,0.193,0.259,0.216,0.591,1.0
