,RELIANCE,HDFCBANK,ICICIBANK,INFY,TCS,AXISBANK,BAJFINANCE,DRREDDY,HINDUNILVR,ITC,MARUTI,ONGC,SUNPHARMA,WIPRO
RELIANCE,1.0,0.424,0.172,0.458,0.204,0.541,0.199,0.259,0.35,0.25,0.326,0.167,0.187,0.191
HDFCBANK,0.424,1.0,0.132,0.442,0.213,0.414,0.224,0.247,0.357,0.203,0.322,0.17,0.207,0.2
ICICIBANK,0.172,0.132,1.0,0.148,0.161,0.129,0.187,0.129,0.171,0.134,0.188,0.386,0.181,0.23
INFY,0.458,0.442,0.148,1.0,0.216,0.511,0.227,0.252,0.308,0.149,0.359,0.166,0.213,0.238
TCS,0.204,0.213,0.161,0.216,1.0,0.175,0.173,0.244,0.271,0.045,0.195,0.146,0.214,0.144
AXISBANK,0.541,0.414,0.129,0.511,0.175,1.0,0.195,0.253,0.294,0.217,0.271,0.217,0.171,0.207
BAJFINANCE,0.199,0.224,0.187,0.227,0.173,0.195,1.0,0.124,0.156,0.134,0.229,0.189,0.677,0.593
DRREDDY,0.259,0.247,0.129,0.252,0.244,0.253,0.124,1.0,0.205,0.169,0.242,0.174,0.14,0.127
HINDUNILVR,0.35,0.357,0.171,0.308,0.271,0.294,0.156,0.205,1.0,0.177,0.3,0.212,0.194,0.171
ITC,0.25,0.203,0.134,0.149,0.045,0.217,0.134,0.169,0.177,1.0,0.297,0.165,0.163,0.211
MARUTI,0.326,0.322,0.188,0.359,0.195,0.271,0.229,0.242,0.3,0.297,1.0,0.23,0.265,0.267
ONGC,0.167,0.17,0.386,0.166,0.146,0.217,0.189,0.174,0.212,0.165,0.23,1.0,0.206,0.206
SUNPHARMA,0.187,0.207,0.181,0.213,0.214,0.171,0.677,0.14,0.194,0.163,0.265,0.206,1.0,0.59
WIPRO,0.191,0.2,0.23,0.238,0.144,0.207,0.593,0.127,0.171,0.211,0.267,0.206,0.59,1.0
