,Ann. Return (%),Ann. Vol (%),Sharpe (raw),Mkt Cap Wt (%),DCC Vol (%)
RELIANCE,9.98,33.78,0.295,13.73,33.59
HDFCBANK,17.44,36.14,0.483,12.27,35.88
ICICIBANK,13.32,24.52,0.543,9.47,24.66
INFY,5.78,25.05,0.231,9.07,25.17
TCS,4.36,22.47,0.194,8.67,22.7
AXISBANK,17.7,29.35,0.603,5.6,29.31
BAJFINANCE,10.39,27.83,0.373,5.07,27.85
DRREDDY,5.55,24.19,0.229,3.73,24.34
HINDUNILVR,8.53,28.93,0.295,6.93,28.9
ITC,15.45,35.44,0.436,6.0,35.21
MARUTI,13.8,27.89,0.495,4.8,27.9
ONGC,21.01,25.84,0.813,4.13,25.93
SUNPHARMA,5.27,23.91,0.22,5.47,24.08
WIPRO,8.2,27.74,0.296,5.07,27.76
